Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
3/8;2/5;[[0,0],[1,0],[3,14],[2,5],[1,6],[-2,-13],[3,15],[2,11]]
11/35;2/5;[[0,0],[2,0],[1,3],[5,8],[1,-2],[-2,-7]]
1;1;[[0,0],[1,0],[0,2],[-12,2],[-12,1]]
5/16;1/2;[[0,0],[1,0],[17,24],[18,25],[6,7]]
1;1;[[0,0],[2,0],[0,1],[2,8],[1,-10]]
3/7;3/7;[[0,0],[2,0],[0,1],[12,4],[18,7]]
23/119;1/3;[[0,0],[1,0],[9,14],[-13,-24]]
2/3;2/3;[[0,0],[1,0],[0,1],[1,8],[2,3],[2,12],[3,10],[3,13]]
18/65;2/5;[[0,0],[1,0],[4,7],[5,12],[-6,-15],[-7,-17]]
1/3;1/2;[[0,0],[1,0],[4,11],[6,16],[5,11],[-2,-7],[7,17]]
4/13;2/5;[[0,0],[1,0],[3,8],[5,9],[5,11],[0,3],[-1,1]]
1/4;2/5;[[0,0],[1,0],[1,3],[5,5],[7,8],[4,8]]
1/3;2/5;[[0,0],[2,0],[4,6],[-2,-7],[1,3],[3,7]]
20/51;2/3;[[0,0],[1,0],[17,18],[-15,-17],[10,10],[18,19]]
1;1;[[0,0],[2,0],[0,1],[-12,1],[-15,2],[-3,2]]
2/3;2/3;[[0,0],[2,0],[0,3],[4,1],[-6,2],[-6,3]]
17/52;1/2;[[0,0],[1,0],[8,17],[-5,-13],[9,19],[8,16]]
2/3;2/3;[[0,0],[4,0],[1,2],[2,3],[7,1],[9,3]]
3/7;2/3;[[0,0],[1,0],[7,10],[-14,-22],[-11,-18]]
2/5;2/5;[[0,0],[1,0],[0,1],[9,5],[4,5],[2,4]]
4/13;2/5;[[0,0],[1,0],[6,10],[0,1],[9,14],[11,16]]
2/5;2/5;[[0,0],[1,0],[3,5],[4,5],[-5,1]]
4/13;2/5;[[0,0],[1,0],[0,3],[-3,7],[-3,11],[-4,13],[-6,15]]
3/17;2/5;[[0,0],[1,0],[5,22],[3,8],[2,2]]
1;1;[[0,0],[17,0],[0,1],[15,-1],[-1,1],[12,-1]]
1/3;1/2;[[0,0],[1,0],[0,2],[-5,6],[-8,8],[-4,2],[-3,1]]
7/38;1/2;[[0,0],[1,0],[8,17],[-5,-13],[5,9],[8,16]]
2/3;2/3;[[0,0],[1,0],[0,11],[2,-13],[-1,19],[2,-12],[-1,21]]
3/10;2/5;[[0,0],[1,0],[3,11],[4,12],[-2,-10],[3,7],[-3,-13],[4,11]]
9/28;1/2;[[0,0],[1,0],[3,14],[4,15],[4,12],[3,7]]
1/3;2/5;[[0,0],[1,0],[1,6],[-1,5],[3,3],[3,6],[4,5]]
1;1;[[0,0],[1,0],[2,3],[9,8],[10,11],[11,11]]
2/3;2/3;[[0,0],[1,0],[0,3],[-6,1],[-7,3],[-8,2]]
1/3;2/5;[[0,0],[1,0],[0,2],[-6,8],[-4,5],[-7,10],[-4,8],[-7,12]]
19/35;1;[[0,0],[2,0],[1,16],[2,-3]]
2/5;2/5;[[0,0],[1,0],[2,3],[6,2],[8,5],[6,5],[3,4],[8,4]]
5/14;1/2;[[0,0],[1,0],[8,11],[-1,-3],[-9,-14],[-6,-10],[-10,-15],[-7,-10]]
2/5;1/2;[[0,0],[2,0],[3,4],[7,6],[5,2],[7,8]]
1/3;2/5;[[0,0],[1,0],[0,3],[-5,8],[-6,11],[-3,4],[-3,8]]
5/16;1/2;[[0,0],[1,0],[3,11],[-1,4],[-1,5]]
1/2;1/2;[[0,0],[1,0],[1,4],[5,3],[-3,2],[5,4]]
4/11;2/5;[[0,0],[3,0],[0,2],[5,-4],[1,-3],[4,-5],[2,-5]]
2/3;2/3;[[0,0],[1,0],[0,3],[-5,1],[-7,3],[-9,2]]
1/3;2/5;[[0,0],[1,0],[9,11],[-2,-4],[-11,-15],[-6,-9],[-12,-16],[-7,-9]]
1/2;1/2;[[0,0],[1,0],[6,14],[2,5],[5,9],[-1,-4],[5,12],[7,15],[7,14]]
2/5;2/5;[[0,0],[1,0],[4,10],[-7,-20],[-6,-16]]
1/3;1/2;[[0,0],[2,0],[2,3],[7,6],[-4,-7],[-5,-8]]
4/11;1/2;[[0,0],[2,0],[1,4],[0,-3],[4,10],[3,10]]
12/35;1/2;[[0,0],[1,0],[7,11],[-7,-13],[-4,-9],[-9,-17],[-8,-16]]
4/13;1/2;[[0,0],[1,0],[7,13],[0,-1],[6,13],[4,5],[5,7]]
9/28;1/2;[[0,0],[1,0],[8,10],[7,7],[14,17],[16,19]]
